harga,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_tanah,luas_bangunan,carport,pasokan_listrik,kab/kota,kecamatan,keamanan,taman,jarak_rs_terdekat,jarak_sekolah_terdekat,jarak_tol_terdekat
0.008829464341860905,0.08333333333333331,0.04918032786885246,0.06161089961931477,0.04,0.07500000000000001,0.04264577893820713,2,68,0,0,0.0010758209247169858,0.0036674222010369953,0.0452511188463451
0.0016201056826862649,0.041666666666666664,0.04918032786885246,0.01031857343217792,0.015300000000000001,0.025,0.008703220191470844,2,68,1,0,0.001198073302525734,0.003472863994085431,0.04276479363500746
0.03115522018962753,0.05555555555555556,0.08196721311475409,0.2536565818473252,0.1107,0.2,0.03263707571801566,2,10,0,0,0.0009535685469082375,0.00386198040798856,0.047737444057682744
0.006178280834938618,0.041666666666666664,0.01639344262295082,0.06892406331396514,0.0708,0.125,0.018276762402088774,2,79,1,0,0.0014425780581432308,0.00386198040798856,0.047737444057682744
0.002550345509676541,0.027777777777777776,0.01639344262295082,0.01322380284512122,0.02,0.125,0.03742384682332463,2,29,0,0,0.0005868114134819923,0.004445655028843254,0.05519641969169567
0.000875913821094044,0.041666666666666664,0.032786885245901634,0.016229212582648766,0.022000000000000002,0.025,0.008703220191470844,2,29,0,1,0.001809335191569476,0.004640213235794819,0.057682744903033316
0.0018061536480843202,0.05555555555555556,0.06557377049180328,0.03826888399118413,0.045000000000000005,0.025,0.007832898172323759,2,10,0,1,0.002420597080613218,0.0036674222010369953,0.0452511188463451
0.002434065531302756,0.027777777777777776,0.032786885245901634,0.0182328190743338,0.025,0.07500000000000001,0.013489991296779807,2,79,1,0,0.0020538399471869725,0.003472863994085431,0.04276479363500746
0.0017131296653852925,0.041666666666666664,0.04918032786885246,0.028250851532758966,0.035,0.05,0.017406440382941687,2,10,1,0,0.0025428494584219664,0.0019163983384729126,0.022874191944306316
0.006968984687880353,0.05555555555555556,0.06557377049180328,0.03325986776197155,0.04,0.125,0.04264577893820713,2,68,1,0,0.001198073302525734,0.004445655028843254,0.05519641969169567
0.003480585336666817,0.06944444444444445,0.08196721311475409,0.0783410138248848,0.07,0.05,0.013925152306353349,2,79,1,1,0.0022983447028044695,0.00386198040798856,0.047737444057682744
0.0006200978686717181,0.013888888888888888,0.032786885245901634,0.04828691644960929,0.045000000000000005,0.0,0.010879025239338555,2,10,1,1,0.002420597080613218,0.004056538614940125,0.05022376926902039
0.010689943995841457,0.027777777777777776,0.01639344262295082,0.014225606090963735,0.02,0.07500000000000001,0.03829416884247171,2,29,0,1,0.0025428494584219664,0.003278305787133866,0.04027846842366981
0.0016201056826862649,0.041666666666666664,0.032786885245901634,0.02324183530354638,0.030000000000000002,0.025,0.014360313315926892,2,68,1,1,0.0025428494584219664,0.003472863994085431,0.04276479363500746
0.0031084894058707063,0.05555555555555556,0.04918032786885246,0.028250851532758966,0.035,0.07500000000000001,0.008703220191470844,2,79,0,1,0.0021760923249957214,0.00386198040798856,0.047737444057682744
0.005061993042550287,0.041666666666666664,0.032786885245901634,0.020236425566018835,0.028,0.05,0.014360313315926892,2,68,1,1,0.0020538399471869725,0.00386198040798856,0.047737444057682744
0.002550345509676541,0.041666666666666664,0.032786885245901634,0.025245441795231416,0.032,0.07500000000000001,0.023063533507397736,2,79,1,1,0.0019315875693782245,0.003472863994085431,0.04276479363500746
0.002294529557254215,0.027777777777777776,0.01639344262295082,0.03225806451612903,0.023,0.05,0.023063533507397736,2,10,1,1,0.0021760923249957214,0.0026946311662791717,0.03281949278965689
0.0148760232172977,0.041666666666666664,0.032786885245901634,0.020236425566018835,0.027,0.25,0.051348999129677976,2,18,0,1,0.0016870828137607275,0.00425109682189169,0.05271009448035804
0.0006200978686717181,0.05555555555555556,0.04918032786885246,0.03325986776197155,0.04,0.025,0.014360313315926892,2,18,1,0,0.0014425780581432308,0.00386198040798856,0.047737444057682744
0.014410903303802562,0.05555555555555556,0.04918032786885246,0.03826888399118413,0.045000000000000005,0.125,0.02959094865100087,2,29,0,1,0.0014425780581432308,0.0028891893732307366,0.035305818000994534
0.006968984687880353,0.041666666666666664,0.032786885245901634,0.0182328190743338,0.025,0.2,0.04264577893820713,2,10,0,1,0.001809335191569476,0.0025000729593276073,0.030333167578319248
0.006271304817637645,0.041666666666666664,0.032786885245901634,0.019234622320176316,0.026000000000000002,0.05,0.03263707571801566,2,79,1,1,0.0014425780581432308,0.003472863994085431,0.04276479363500746
0.0024108095356279993,0.05555555555555556,0.04918032786885246,0.03325986776197155,0.04,0.05,0.018276762402088774,2,68,1,0,0.002420597080613218,0.003278305787133866,0.04027846842366981
